reference	ppi_relations	set
20581824_10	Rev-erbalpha=NCoR; Rev-erbalpha=NCoR; Rev-erbalpha=NCoR	Test
20599894	Raspberry=Hh; Spitz=EGF; dHIP14=Sog	Test
20610737	protein kinase A=PDE10A2; DHHC-7=PDE10A2; -19=PDE10A2; MP-10=PDE10A	Test
20639393_10	harmonin=cadherin-23; harmonin-a=CDH23; harmonin-a=CDH23Deltaexon68; harmonin=CDH23; cadherin-23=harmonin-a; harmonin-a=CDH23; cadherin-23=harmonin-a; harmonin-a=cadherin-23; harmonin=protocadherin-15; harmonin=cadherin-23	Test
20691628_28	UPF1=CBP80	Test
20694664_37	Ran=RanBP3	Test
20832753_2	BMK1=promyelocytic leukemia protein	Test
20858899	Smurf2=Axin; Smurf2=Axin; Smurf2=Axin; Axin=Smurf2; Smurf2=Axin; Smurf2=Axin; Smurf2=Axin	Test
20975703	Calmodulin methyltransferase=calmodulin; c2orf34=CaM	Test
21081508	toxin B=small GTPases	Test
21098725	SIRT1=STAT3	Test
21164013	Greatwall=alpha-endosulfine	Test
21236256	AFAP=c-Src; AFAP=c-Src; actin=AFAP	Test
21266407	DPP=Crossveinless 2	Test
21339334_74	Shh=GPC5	Test
21347367	TPX2=Aurora A; TPX2=Aurora A	Test
21386983_57	beta-Syn=copper; copper=alpha-Syn; copper=alpha-Syn; alpha-Syn=copper; copper=alpha-Syn; copper=alpha-Syn; copper=beta-Syn; beta-Syn=alpha-Syn; alpha-Syn=copper; beta-Syn=copper; alpha-Syn=copper; copper=alpha-Syn	Test
21505799_30	laforin=malin	Test
21554248	Ku80=LRH-1; Ku70=LRH-1; ILF3=LRH-1; ILF3=LRH-1; ILF3=PRMT1; ILF3=PGC-1alpha; PGC-1alpha=PRMT1; PGC-1alpha=LRH-1; PRMT1=LRH-1; PGC-1alpha=ILF3; PRMT1=ILF3	Test
21734303	IDOL=low density lipoprotein receptor; IDOL=LDLR; IDOL=LDLR; IDOL=LDLR	Test
21807881	COG=Syntaxin 6; Cog6=Syntaxin 6; Syntaxin 6=COG; Syntaxin16=Syntaxin 6; Syntaxin 6=Vti1a; Syntaxin 6=VAMP4; Syntaxin16=Vti1a; Syntaxin16=VAMP4; Vti1a=VAMP4; COG=SNAREs	Test
21827752	SPATA4=TRAPP; C2=SPATA4; SPATA4=C2; C2=SPATA4	Test
21855800_11	eIF4G=eIF4E	Test
21900752	p53=MDM2; MDM2=ARF; MDM2=p53; ARF=p53	Test
21951725_19	MICAL-L2=Rab8; MICAL-L2=Rab13; MICAL-L1=Rab35; MICAL-L1=Rab10	Test
22020280	Mili=piRNAs; piRNA=Miwi2	Test
22024395_39	FANCJ=BLM; FANCJ=BRCA1; FANCJ=RPA; FANCJ=MRN; FANCJ=BLM	Test
22033972	Swi5=Sfr1; Swi5=Sfr1; Swi5=Sfr1; Swi5=Sfr1; Swi5=Sfr1; Swi5=Sfr1; Swi5=Sfr1; Swi5=Rad51; Sfr1=Rad51; Swi5=Sfr1; Swi5=Rad51; Sfr1=Rad51	Test
22069318	TNF receptor-associated factor 6=TAK1; TNF receptor-associated factor 6=TAK1	Test
22072986	Leucine-zipper transcription factor-like 1=BBSome	Test
22086907_3	pVHL=elongin C; pVHL=elongin B; pVHL=C; pVHL=Cul2; elongin B=C; elongin B=Cul2; C=Cul2; pVHL=HIFalpha; CRL=hypoxia-inducible factor	Test
22194618	FdhD=IscS; IscS=FdhD	Test
22219378_47	JFC1=EPI64; JFC1=EPI64; JFC1=EPI64; EPI64=JFC1	Test
22325352_44	CBXs=PHCs; PHCs=SCMs; CBXs=SCMs	Test
22355353	YKu70=YKu80; Yku70=80; Yku70=80	Test
22363753_26	hPPARgamma=hRXRalpha DBD-LBD	Test
22420621_7	Sec3=Sec5; Sec3=Sec6; Sec3=Sec8; Sec3=Sec10; Sec3=Sec15; Sec3=Exo70; Sec3=Exo84; Sec5=Sec6; Sec5=Sec8; Sec5=Sec10; Sec5=Sec15; Sec5=Exo70; Sec5=Exo84; Sec6=Sec8; Sec6=Sec10; Sec6=Sec15; Sec6=Exo70; Sec6=Exo84; Sec8=Sec10; Sec8=Sec15; Sec8=Exo70; Sec8=Exo84; Sec10=Sec15; Sec10=Exo70; Sec10=Exo84; Sec15=Exo70; Sec15=Exo84; Exo70=Exo84	Test
22500027_7	BBS6=BBS10; BBS10=BBS12; BBS6=BBS12	Test
22606318_15	Ligase III=Xrcc1; Xrcc1=Ligase III; DNA Ligase III=Xrcc1	Test
22649370	Del1-9-G129R-hPRL=PRLR	Test
22777353	protein arginine methyltransferase 6=Sin3a; protein arginine methyltransferase 6=HDAC1; Sin3a=HDAC1; protein arginine methyltransferase 6=RUNX1; RUNX1=Sin3a; RUNX1=HDAC1; PRMT6=RUNX1; PRMT6=histone H3; WDR5=MLL; p300=pCAF	Test
22816037_25	spike proteins=APN; S protein=APN	Test
22908299	WSTF=H2A.X; ATM=H2A.X; ATR=H2A.X; Eya1=H2A.X; Eya3=H2A.X	Test
22958824_7	SOL-2=GLR-1	Test
23022382_20	NDP52=LC3C; LC3=LIR; LIR=LC3C	Test
23022657_23	MIG-10=ABI-1; MIG-10B=ABI-1	Test
23240008	FOXM1=CDC25A; CDK1=cyclinB; CDK1=FOXM1; CDK1=FOXM1; FOXM1=CDC25A; CDC25A=FOXM1; cyclinB=FOXM1	Test
23246001_20	SGTA=Ubl4A; SGTA=Ubl4A; SGTA=Ubl4A; SGTA=Hsc70; Bag6=SGTA; Ubl4A=SGTA; Ubl4A=Bag6; Bag6=SGTA; SGTA=Ubl4A; Bag6=SGTA; Ubl4A=Bag6; Ubl4A=SGTA; Ubl4A=Bag6; Ubl4A=Bag6; SGTA=Bag6; Bag6=SGTA; Bag6=SGTA; Bag6=SGTA; Bag6=SGTA	Test
23247405_12	Rab38=BLOC-2	Test
23247405_22	Rab32=Varp; Rab38=Varp; Rab=Varp; Rab38=HOmotypic fusion and protein sorting; Rab32=HOmotypic fusion and protein sorting	Test
23247405_9	Rab32=Rab38	Test
23352452_15	Ras=Raf; 14-3-3=Rafs; 14-3-3=B-Raf; 14-3-3=C-Raf; Raf=Ras; Raf=14-3-3; Raf=Hsp90; Raf=Cdc37; B-Raf=C-Raf; Raf=Raf; Raf=14-3-3	Test
23403289	Ezh2=H3K27	Test
23499533_3	Scc2=4; Scc2=4	Test
23533635	BAG6=SGTA; BAG6=small-glutamine rich tetratricopeptide repeat-containing protein alpha; BAG6=SGTA; BAG6=ubiquitin-like protein 4A; SGTA=ubiquitin-like protein 4A; SGTA=BAG6; BAG6=SGTA; UBL4A=SGTA; Sec61Beta=BAG6; BAG6=Sed5; SGTA=BAG6	Test
23667505	PCAF=histone; PCAF=histone; CSB=RNA polymerase I; RNA polymerase I=PCAF; CSB=PCAF; PCAF=histone H4; PCAF=histone H3K9; PCAF=H4ac; PCAF=H3K9ac; PCAF=histone	Test
23685356_31	POT1=shelterin	Test
23790976_24	LXR=RXR	Test
23802716	indoline-3,2'-thiazolidine=p53; spiro[imidazo[1,5-c]thiazole-3,3'-indoline]-2',5,7(6H,7aH)-trione=p53; p53=MDM2; 4n=MDM2; thiazolidine=p53	Test
23810392	TRIM25=RIG-I; TFG=TRIM25; TFG=TRIM25	Test
23840694_26	Sec1/Munc18=SNAREs; Sly1=SNAREs; Vps45=SNAREs; SM=SNARE; SNAREs=SM	Test
24288332	ER=27-hydroxycholesterol; liver X receptor=27-hydroxycholesterol	Test
24369422_69	E2F6=DP1; MGA=MAX; MGA=MAX; L3MBTL2=MGA; MAX=L3MBTL2	Test
24498436	RDM1=RNA polymerase II; RDM1=AGO4; RDM1=DRM2; DRM2=RDM1; RDM1=DEFECTIVE IN RNA-DIRECTED DNA METHYLATION1; RDM1=DEFECTIVE IN MERISTEM SILENCING3; DEFECTIVE IN RNA-DIRECTED DNA METHYLATION1=DEFECTIVE IN MERISTEM SILENCING3	Test
24768535	polymerase-eta=PCNA; EFP=PCNA; EFP=PCNA; PCNA=USP10; USP10=PCNA; polymerase-eta=PCNA; UBP43=PCNA	Test
24814316_14	MET=TNS4; TNS4=MET; MET=TNS4; TNS4=MET; DLC-1=TNS4; MET=TNS4; MET=TNS4	Test
24814316_4	hepatocyte growth factor=MET	Test
25010066	off-track 2=Wnt2; off-track=Wnt2; Wnt=PTK7; Otk=Otk2; Otk2=Frizzled; Otk2=Frizzled2; Otk2=Wnt2; Otk=Frizzled; Otk=Frizzled2; Otk=Wnt2; Otk2=Wnt; Otk=Wnt	Test
25030448	TMEM129=Derlin-1; TMEM129=US11; TMEM129=Derlin-1; US11=Derlin-1; US11=MHC-I; TMEM129=MHC-I; Ube2J2=MHC-I	Test
25107275	OCRL=clathrin; OCRL=SNX9	Test
25233328_4	cryptochrome 2=CIB1; CRY2=CIB1	Test
25263562_10	GATOR2=Sestrin2; GATOR2=Sestrin2; Sestrin2=GATOR2; Sestrin2=GATOR2; Ragulator=v-ATPase	Test
25329897_3	Rap1=GTP; Rap1=GDP; Rap1=GTP	Test
25380047_22	SEPT7=F-actin; SEPT6=F-actin	Test
25543256	Kti11=Kti13; DPH3=eukaryotic elongation factor 2; Kti11=Kti13; Kti11=Kti13; Kti11=Kti13	Test
25602519	CDC28=Cac1p; Cac1p=PCNA; CDC28=Cac1p; Cac1p=PCNA; CDC28=Cac1p; CDC7=Cac1p; CDC7=Cac1p; CDC28=Cac1p; CDC7=Cac1p; CAF-I=PCNA	Test
25690888	Rad5=PCNA; Rad5=PCNA	Test
25713138_39	BAG6=Ubl4a; BAG6=Ubl4a; Ubl4a=BAG6	Test
25818881_8	DBI=GABAA receptor; benzodiazepine=type A receptor for gamma-aminobutyric acid; diazepam=type A receptor for gamma-aminobutyric acid; DBI=type A receptor for gamma-aminobutyric acid; benzodiazepines=TSPO; isoquinoline carboxamides=TSPO; indole acetamides=TSPO; flunitrazepam=TSPO; 5-androsten-3beta,17,19-triol=TSPO	Test
25819761_21	Sestrin2=GATOR2; GATOR1=RagB	Test
25916855_48	ADAT2=ADAT3	Test
26018600_34	fIXa=fVIIIa	Test
26052893_5	1A'=1A; 1A'=1T; 1A'=1S; 1A=1T; 1A=1S; 1T=1S; S=EcfT	Test
26151477	RNF111=XPC; ERCC1=XPF; RNF111=XPC; CRL4(DDB2)=XPC	Test
26237511_28	TNT=IFT; NAD+=TNT; NAD+=TNT	Test
26651479_12	TMEM106B=CHMP2B; TMEM106B=CHMP2B	Test
26801977_42	Notch=CSL	Test
26984517_50	LDL=LDL receptor; LDL=LDL receptor; LDL receptor=LDL; LDL receptors=sd LDL; LDL receptors=LDL	Test
27120157	APC/C=Cdc20; APC/C=Cdh1; Cdh1=APC/C; Cdc20=APC/C; Cdh1=APC/C; APC/C=Cdc20; Cdk=cyclin; Cdk=Apc3; Apc1=Apc3	Test
27350684	Prp28=Rna14	Test
27396271_26	H-Ras=Raf kinase; H-Ras=PI3Kgamma; H-Ras=Raf; H-Ras=PI3Kgamma; K-RasG12C=Raf; Raf=K-RasG12C	Test
27751725	Dbf4-dependent kinase=Mcm2; DDK=Mcm2; San=Mcm2; Ni=Mcm2; Ichi=Mcm2; Go=Mcm2; GINS=Mcm2; GINS=Mcm2; DDK=Mcm2; Go=Ichi; Go=Ni; Go=San; Ichi=Ni; Ichi=San; Ni=San	Test
28077790_40	Dasatinib=BCR-ABL	Test
28115426	KEAP1=CUL3; KEAP1=NRF2; CUL3=NRF2; KEAP1=CUL3; CUL3=RBX1; KEAP1=RBX1; KEAP1=NRF2; CUL3=NRF2; RBX1=NRF2; NRF2=KEAP1; NRF2=CUL3; NRF2=KEAP1; KEAP1=CUL3; NRF2=CUL3; KEAP1=NRF2; CUL3=NRF2; UFD1=NPL4	Test
28392147_34	Val-boroPro L-allo-Ile-isoindoline=DPP8; Val-boroPro L-allo-Ile-isoindoline=9; GSDMD=caspase-1	Test
2843516	E2=E1; E2=E1; E2=E1; E2=E1	Test
28515143_17	Cdk8=CycC; CycC=Cdk8; CycC=Cdk; CycC=CDK3; Cdk8=cyclins; CycC=Cdks; CycC=Cdks; Cdk8=cyclins; Cdk8=cyclins	Test
29283431	RAD4=RAD23B; RAD4=HMR	Test
29666278	USP11=p21; USP11=p21; USP11=p21; USP11=p21; USP11=p21; USP11=p21	Test
30389923_30	p85=PDGFRA; SHP-2=PDGFRA; PLC-gamma=PDGFRA	Test
32094225_31	nsp8=nsp12	Test
32367036_16	disulfiram=GSDM	Test
34029587	PRMT1=nucleocapsid (N) protein; PRMT=nucleocapsid (N) protein; PRMT=N protein; PRMT1=N protein; PRMT1=G3BP1; PRMT1=G3BP1	Test
4098172	ethylenediaminetetraacetate=anaphylatoxin inactivator; phenanthroline=anaphylatoxin inactivator	Test
6330098	cyclic GMP-dependent protein kinase=G-substrate; cyclic AMP-dependent protein kinase=DARPP-32; cyclic AMP-dependent=synapsin I; Ca2+/calmodulin-dependent protein kinase=synapsin I; Calcineurin=G-substrate; Calcineurin=DARPP-32; Calcineurin=Protein K.-F.; Calcineurin=synapsin I; calcineurin=Protein K.-F.; calcineurin=G-substrate; calcineurin=DARPP-32	Test
7524088	galanin receptor=galanin	Test
7545681	L-selectin=GlyCAM-1; L-selectin=GlyCAM-1; GlyCAM-1=L-selectin	Test
7916593	Mg2+=6-phosphofructo-2-kinase	Test
8078515	exoenzyme S=Ehrap1; exoenzyme S=Ehrap2; exoenzyme S=Ehras1; exoenzyme S=Ehras2	Test
8232104	p21 ras=Farnesyl; lovastatin=3-hydroxy-3-methylglutaryl coenzyme A reductase; compactin=3-hydroxy-3-methylglutaryl coenzyme A reductase	Test
8407894	RNA polymerase III=70-kDa component of transcription factor IIIB; C82=C53; C53=C34; C34=C31; C82=C34; C82=C31; C53=C31; C34=TFIIIB70; C34=C82; C34=C31; C82=C31; TFIIIB=RNA polymerase III; C34=TFIIIB70	Test
8505295	arrestin=rhodopsin; rhodopsin=arrestin; arrestin=rhodopsin; arrestin=rhodopsin; arrestin=rhodopsin; arrestin=rhodopsin; arrestin=rhodopsin; rhodopsin=arrestin	Test
8521815	cytotoxicity-dependent APO-1-associated proteins=APO-1; APO-1=CAP4; APO-1=3; APO-1=CAP1; CAP1=APO-1; 4=APO-1	Test
8798525	PPT=N-Ras; PPT=H-Ras	Test
8948587	MATH4A=MASH1; MATH4A=MASH1; MATH4A=E12; E12=MATH4A; MASH1=MATH4A	Test
8995282	LAR=insulin receptor; LAR=insulin receptor; LAR=insulin receptor; LAR=insulin receptor; LAR=insulin receptor	Test
9115214	Grb2=SLP-76; SLAP-130=SLP-76; SLP-76=SLAP-130; SLAP-130=SLP-76	Test
9154799	retinoid X receptor=retinoic acid receptor; retinoic acid (RA) receptor=retinoid X receptor; RXR=RAR; RXR=RAR	Test
9195882	rhoGDI=G proteins; rhoGDI=rho family G proteins; Guanine nucleotide dissociation inhibitors=G proteins; rac=rhoGDI; rac=rhoGDI; rac=rhoGDI	Test
9348293_33	plakoglobin=classical; plakoglobin=desmosomal cadherins; cadherin=plakoglobin; DP-NTP=plakoglobin; desmoplakin=plakoglobin; plakoglobin=cadherin; plakoglobin=cadherin; plakoglobin=Dsg1; plakoglobin=alpha-catenin; alpha-catenin=plakoglobin; Dsg1=plakoglobin; plakoglobin=alpha-catenin; plakoglobin=DP-NTP; plakoglobin=DP-NTP; desmoplakin=plakoglobin; plakoglobin=desmoplakin; desmoplakin=plakoglobin; desmosomal cadherins=plakoglobin; cadherin=plakoglobin; plakoglobin=alpha-catenin; plakoglobin=desmoplakin	Test
9362506_22	alpha-SNAP=SNAREs; alpha-SNAP=NSF; alpha-SNAP=SNAREs	Test
9412462_6	Tim23p=Tim17p; Tim54p=Tim22p; Tim17p=Tim23p; Tim22p=Tim54p	Test
9448000	Brn-3a=estrogen receptor; Brn-3b=estrogen receptor; Brn-3a=ER; Brn-3b=ER; Brn-3a=ER; Brn-3b=ER; Brn-3=ER; Brn-3b=ER	Test
9506992	epidermal growth factor receptor=phosphatidylinositol 3-kinase; phosphatidylinositol 3-kinase=platelet-derived growth factor beta receptor; epidermal growth factor (EGF) receptor=PDGFbetaR; phosphatidylinositol 3-kinase=PDGFbetaR; EGFR=PDGFbetaR; PDGFbetaR=EGFR	Test
9765293	RAP74=FCP1; RAP74=RNA polymerase IIO; RAP30=74; FCP1a=RAP74; FCP1a=RAP74; FCP1a=RAP74; FCP1b=RAP74; FCP1=RNA polymerase II	Test
9790534	HDAC1=2; HDAC1=histone; 2=histone; HDAC1=histone; 2=histone; 2=Mi2beta; HDAC1=Mi2beta	Test
9808621	DOCK180=Rac	Test
9857197	Yap1p=Crm1p; Crm1p=Yap1p; Crm1p=Yap1p	Test
9858532	hnRNP F=KSRP; an unidentified protein of 58 kDa=KSRP; hnRNP F=an unidentified protein of 58 kDa; hnRNP F=hnRNP H; F=hnRNPs H	Test
10022897	CD95=CD95L; p50=p65; p50=p65	Train
10037799_64	CD34=L-selectin; vWF=coagulation Factor VIII	Train
10049407	dinitrogenase reductase ADP-ribosyltransferase=dinitrogenase reductase	Train
10066374	Hsp90=glucocorticosteroid receptor; Hsp90=glucocorticosteroid receptor; Hsp90=GR; Hsp90=GR; GR=Hsp90; Hsp90=GR	Train
10075690	IkappaBalpha=h-betaTrCP; betaTrCP=IkappaBalpha; betaTrCP=IkappaBalpha; SCFbetaTrCP E3=IkappaBalpha; Skp1-Cullin-F-box protein=IkappaBalpha; betaTrCP=SCFbetaTrCP E3	Train
10080948	TRAF2=CD40; TRAF2=CD40; TRAF2=CD40; CD40=TRAF2; TRAF2=CD40; CD40=TRAF2	Train
10085129	GRKs=G protein-coupled receptors; GRK2=caveolin; GRK=caveolin; GRK2=caveolin; GRK=caveolin; GRK2=caveolin; Maltose=caveolin; GRK2=caveolin	Train
10092233	adenomatous polyposis coli=axin; axin=glycogen synthase kinase 3beta; adenomatous polyposis coli=glycogen synthase kinase 3beta; B56=APC	Train
10195903	calcineurin=BAD; Calcineurin=BAD; BAD=Bcl-xL; BAD=14-3-3	Train
10201929	immunoglobulin-like transcript-2=HLA-B27; Jun=Fos	Train
10209036	SHP2=SIT; syk=SIT; src=SIT; SIT=SHP2	Train
10209041	GrpL=SLP-76; SLP-76=Vav; GrpL=SLP-76; Sos1=Grb2; Sos2=Grb2; LAT=Grb2; GrpL=SLP-76; GrpL=SLP-76	Train
10219085	Ctr9p=Cdc73p; Ctr9p=Paf1p; Swi4p=Swi6p; Cln3p=Cdc28; Paf1p=RNA poly-merase II; Cdc73p=RNA poly-merase II	Train
10221643	Tcf-1=beta-catenin; Lef/Tcf transcription factor=beta-catenin	Train
10228008	CD40=CD40 ligand; CD40=CD40L	Train
10318773	TR6=herpes virus entry mediator (HVEM)-L; TR6=Fas ligand; LIGHT=HVEM; LIGHT=LTbetaR	Train
10330189	beta-catenin=lymphoid enhancer factor 1; beta-catenin=axin; beta-catenin=LEF-1; beta-catenin=E-cadherin; beta-catenin=APC; beta-Catenin=LEF-1; LEF-1=beta-catenin; beta-catenin=LEF/TCF; beta-catenin=LEF/TCF	Train
10330415	glycosylation- dependent cell adhesion molecule 1=L-selectin; CD34=L-selectin; podocalyxin=L-selectin; L-selectin=glycosylation- dependent cell adhesion molecule 1; L-selectin=GlyCAM-1; L-selectin=podocalyxin; GlcNAc-6-sulfotransferase=GlyCAM-1; GlcNAc-6-sulfotransferase=CD34; Gal-6-sulfotransferase=GlyCAM-1; Gal-6-sulfotransferase=CD34; L-selectin=fucosyltransferase VII; L-selectin=CD34; IgM=fucosyltransferase VII; IgM=CD34	Train
10347142	ERK2=beta-arrestin1; ERK1=beta-arrestin1; ERK=beta-arrestin1; clathrin=beta2-adrenergic receptor; ERKs=beta-arrestin1	Train
10347175	Vav=SLP-76; SLP-76=Vav; SLP-76=Vav	Train
10347217	p53=MDM2; MDM2=p53; MDM2=p53; p53=MDM2; MDM2=p53; MDM2=p53; MDM2=p53; p53=MDM2; MDM2=p53; MDM2=p53	Train
10357820	Ikaros=Mi-2-HDAC; Ikaros=mSin3; mSin3=histone deacetylases	Train
10364157	PU.1=GATA-1; PU.1=GATA-1; PU.1=GATA-1	Train
10373463	Cna1p=Cnb1p; Cna1p=calmodulin; Cna1p=Fkb1p; Cna1p=Cnb1p	Train
10383393	MAPKAP kinase 2=sHsps; 3=sHsps	Train
10388812	Sin3=Rpd3; Sin3=Rpd3; Sin3=Rpd3; Rpd3=Sin3; Sap30=Sin3; Sap30=Rpd3; Sin3=Rpd3; GCN5=histone	Train
10430017	PEX19=HsPEX3	Train
10432288	Bcl-2=Bax; Bcl-2=Bad; calcium-dependent phosphatase=NFAT; Fas=Fas ligand	Train
10438731	GATA-1=C/EBPbeta; FOG=GATA-1	Train
10446999	VDR=retinoid X receptor	Train
10454565	Cdc25=cyclin-dependent kinases; cyclin=Cdk; Cdc25A=cyclin; Cdc25A=Cdk; cyclin E=Cdk2; cyclin A=Cdk2; Cdc25A=Cdk2	Train
10455134	AML1=BSAP; AML1=BSAP; AML1=BSAP	Train
10468875	FVIII=factor IXa; FIXa=FVIII; FVIII=FIXa	Train
10469171	seven in absentia homolog-1A=metabotropic glutamate receptors; calmodulin=metabotropic glutamate receptors; mGluRs=Siah-1A; CaM=mGluRs; Siah-1A=mGluRs; mGluRs=Siah-1A; mGluR1=Siah-1A; Siah-1A=mGluRs	Train
10477683	c-Maf=c-Myb; Myb=Maf; Myb=Maf	Train
10490593	RAG1=HMG1; RAG1=HMG2; RAG1=RAG2; RAG1=RAG2; RAG1=2; RAG1=2; HMG1=RAG1; HMG2=RAG1; RAG1=2; RAG1=2	Train
10512884	Arp2/3=Las17p; Las17p=Arp2/3; Arp2p=Las17p; Las17p=actin; Las17p=verprolin; Las17p=Rvs167p	Train
10514377	c-Cbl=RPTKs; c-Cbl=platelet-derived growth factor receptor	Train
10514433	Skp1=Cul1; Cul1=FWD1; Skp1=FWD1; SCF=IkappaBalpha; FWD1=Skp1; FWD1=IkappaBalpha; FWD1=IkappaBalpha; IkappaBalpha=Skp1; FWD1=Skp1; IkappaBalpha=FWD1; FWD1=IkappaBalpha; IkappaBalpha=FWD1; FWD1=IkappaBalpha; FWD1=IkappaBalpha; IkappaBalpha=FWD1; FWD1=Skp1; IkappaBalpha=Skp1; FWD1=IkappaBalpha; Skp1=IkappaBalpha; Skp1=FWD1; FWD1=Skp1; IkappaBalpha=FWD1; FWD1=Skp1; Skp1=IkappaBalpha; SCF ubiquitin ligase=IkappaBalpha; SCF ubiquitin ligase=FWD1; SCF ubiquitin ligase=Skp1	Train
10559189	Groucho=histone deacetylase; HIPK2=Groucho; HIPK2=histone deacetylase; Groucho=NK-3; Groucho=HIPK2; HIPK2=NK-3; Groucho=NK-3; NK-3=histone deacetylase; NK-3=HDAC1; HDAC1=mSin3A; Groucho=histone deacetylase; Groucho=HDAC1; histone deacetylase=NK-3; NK-3=Groucho; NK-3=histone deacetylase; Groucho=histone deacetylase; histone deacetylase=histone; Groucho=histone; NK-3=histone	Train
10581160	GSK3beta=axin; axin=beta-catenin; beta-catenin=Lef/Tcf; Axin=beta-catenin; Axin=GSK3beta; GSK3beta=Axin; GSK3beta=Axin; Axin=beta-catenin; Axin=beta-catenin; GSK3beta=Axin; beta-catenin=Axin	Train
10585443	tuberin=hamartin; tuberin=hamartin; tuberin=hamartin	Train
10593883	MEKK3=MEK5; MEK5=MEKK3	Train
10598587	human transcription intermediary factor 1alpha=estrogen receptors; estrogen receptors=human transcriptional intermediary factor 1alpha; hTIF1alpha=ERalpha; TIF1alpha=ERalpha; hTIF1alpha=ERbeta; hTIF1alpha=ERalpha	Train
10601333	Gemin3=SMN; SMN=SIP1; SIP1=Sm core; SMN=Sm core; SMN=Gemin3; Gemin3=SMN; Gemin3=SmB; Gemin3=SmD2; Gemin3=SmD3; Gemin3=SMN; Gemin3=SMN	Train
10613896_16	Eps15=Hrb	Train
10623527	E2o=E2p; E1p=E2p; E1o=E2o; lipoate protein ligase A=E2p	Train
10657632	src=MCP; Lck=MCP	Train
10660620	PILRalpha=SHP-1; PILRalpha=PILRbeta; PILRalpha=SHP-1; PILRalpha=SHP-1; PILRalpha=SHP-1	Train
10684251_43	Axin=GSK-3; Axin=beta-catenin; GSK-3=beta-catenin; GSK-3=Axin; GSK-3Y>F=Axin; Akt=GSK-3; Axin=GSK-3; Xgsk-3=Axin; Xgsk-3=Axin; Axin=Xgsk-3; Xgsk-3=Axin; Axin=Xgsk-3; Xgsk-3=beta-catenin; Axin=Xgsk-3; GSK-3=Axin	Train
10684567	GTP=Ras; geranylgeranyltransferase I=Ras	Train
10698523	Axin=adenomatous polyposis coli gene product; Axin=glycogen synthase kinase-3beta; Axin=beta-catenin; GSK-3beta=adenomatous polyposis coli gene product; beta-catenin=Axin; protein phosphatase 2A=Axin; GSK-3beta=APC; APC=Axin; GSK-3beta=APC; APC=Axin; Axin=GSK-3beta; Axin=beta-catenin; Axin=GSK-3beta; Axin=beta-catenin; GSK-3beta=APC; GSK-3beta=APC; Axin=APC; Axin=APC; GSK-3beta=APC; GSK-3beta=APC; Axin=APC; beta-catenin=APC; APC=Axin; GSK-3beta=APC; protein phosphatase 2A=Axin; PP2A=Axin; PP2A=APC; GSK-3beta=APC; GSK-3beta=APC; PP2A=Axin; beta-catenin=Axin	Train
10702271	Pyk2=Janus kinase 1; Pyk2=IL-7Ralpha; Pyk2=Jak1; Pyk2=IL-7Ralpha	Train
10706618	retinoblastoma=zinc-finger protein RIZ; retinoblastoma=RIZ; estrogen receptor=RIZ; estrogen=RIZ	Train
10722742	Mdm2=p53; Mdm2=p53; Mdm2=Mdm2; Mdm2=p53	Train
10725331_37	SMN=Gemin2	Train
10753746	Inscuteable=Pins; Inscuteable=Bazooka; Partner of Inscuteable=Inscuteable; G-protein alpha=Inscuteable; Pins=Galpha; Pins=Galpha	Train
10777215	ATFa=adenovirus E1a; ATFa=Jun; ATFa=Fos; ATFa=JNK2; mAM=ATFa; mAM=TFIIE; mAM=TFIIH; mAM=RNAPII	Train
10781063	SCF=p27; SCF=p27	Train
10781587	CCL28=CCR10; CCR10=CCL28; CCL27=CCR10; CCL28=CCR10	Train
10786633	hMOF=histone; hMOF=histones H3; hMOF=H2A; hMOF=H4; MYST=histone; MYST=H4; MYST=H2A; MYST=histones H3	Train
10793159	alpha=beta-tubulin; beta-tubulin=benomyl; Bim1p=alpha-tubulin; beta=alpha	Train
10823831	Hypoxia inducible factor-alpha=von Hippel-Lindau tumor suppressor protein; von Hippel-Lindau tumor suppressor protein=Hypoxia inducible factor-alpha; pVHL=HIF-alpha	Train
10831604_18	JIL-1=MSL; JIL-1=MSL; JIL-1=MSL; JIL-1 kinase=MSL; JIL-1=MSL	Train
10860980	calcineurin=NFATc; calcineurin=NFATc; NFATc=Cn; Cn=NFATc; Cn=NFAT	Train
10873650	Npw38=U5-15kD; U5-15kD=PQBP-1	Train
10926844	Histone deacetylases=histones; HDAC8=histone H4; HDAC8=histones	Train
10949152	exotoxin A=EF-2	Train
10966108	TIP60=histone; TIP60=histone; TIP60=histone; TIP60=histone; TIP60=histone	Train
10966114	c-Cbl=UbcH7; ubiquitin-conjugating enzyme=receptor tyrosine kinases; c-Cbl=E2; HECT family E3=E2; RING E3s=E2; E2=RING E3s; receptor tyrosine kinases=c-Cbl; E2=c-Cbl	Train
10978310	HlyC=HlyA	Train
10980697	FAK=epidermal growth factor (EGF) receptors; Pyk2=epidermal growth factor (EGF) receptors	Train
10995389	APC=CDH1; APC=CDH1; anaphase promoting complex=CDC6; APC=CDC6; APC=CDH1	Train
11012776	M-ficolin=N-acetyl-D-glucosamine	Train
11020388	protein kinase C=p300; protein kinase C=p300; protein kinase C=p300	Train
